image_id,split
1,test
2,train
3,val
4,train
5,train
6,train
7,train
8,train
9,test
10,train
11,train
12,val
13,train
14,val
15,train
16,train
17,train
18,train
19,train
20,train
21,train
22,test
23,test
24,train
25,train
26,test
27,train
28,train
29,train
30,train
31,val
32,train
33,train
34,train
35,train
36,train
37,train
38,train
39,train
40,train
41,train
42,train
43,train
44,train
45,train
46,test
47,train
48,train
49,train
50,test
51,val
52,val
53,train
54,train
55,train
56,test
57,train
58,train
59,train
60,test
61,train
62,train
63,train
64,train
65,train
66,train
67,train
68,train
69,test
70,train
71,train
72,train
73,train
74,train
75,train
76,train
77,train
78,train
79,train
80,train
81,train
82,train
83,train
84,train
85,train
86,train
87,train
88,train
89,train
90,val
91,train
92,train
93,train
94,train
95,test
96,test
97,train
98,train
99,train
100,train
101,train
102,val
103,train
104,train
105,train
106,test
107,train
108,test
109,val
110,train
111,train
112,train
113,train
114,val
115,train
116,val
117,train
118,train
119,train
120,val
121,train
122,train
123,train
124,train
125,train
126,train
127,val
128,train
129,val
130,train
131,train
132,train
133,train
134,train
135,test
136,train
137,train
138,train
139,train
140,train
141,train
142,test
143,train
144,train
145,train
146,train
147,train
148,test
149,train
150,train
151,train
152,train
153,train
154,train
155,train
156,train
157,train
158,train
159,train
160,train
161,val
162,train
163,train
164,train
165,val
166,train
167,train
168,train
169,train
170,val
171,val
172,train
173,val
174,train
175,train
176,train
177,train
178,train
179,test
180,train
181,train
182,train
183,test
184,test
185,train
186,train
187,train
188,train
189,train
190,train
191,train
192,test
193,train
194,test
195,train
196,train
197,train
198,train
199,test
200,train
201,train
202,val
203,train
204,train
205,train
206,train
207,train
208,train
209,train
210,train
211,train
212,test
213,train
214,train
215,val
216,train
217,train
218,train
219,val
220,train
221,train
222,train
223,train
224,train
225,train
226,train
227,train
228,train
229,train
230,test
231,test
232,train
233,train
234,train
235,train
236,train
237,val
238,train
239,train
240,train
241,train
242,train
243,val
244,train
245,train
246,train
247,train
248,train
249,test
250,train
251,train
252,train
253,train
254,train
255,train
256,train
257,test
258,train
259,train
260,train
261,train
262,train
263,train
264,train
265,train
266,train
267,train
268,train
269,val
270,test
271,val
272,train
273,train
274,train
275,train
276,train
277,train
278,train
279,train
280,train
281,train
282,train
283,train
284,train
285,test
286,val
287,train
288,test
289,train
290,train
291,train
292,test
293,train
294,train
295,val
296,train
297,train
298,train
299,test
300,train
301,val
302,train
303,train
304,train
305,train
306,train
307,train
308,train
309,val
310,train
311,train
312,val
313,test
314,train
315,train
316,val
317,train
318,train
319,train
320,train
321,train
322,train
323,test
324,train
325,train
326,train
327,train
328,train
329,train
330,train
331,train
332,train
333,test
334,val
335,train
336,train
337,train
338,val
339,train
340,train
341,val
342,train
343,train
344,train
345,train
346,train
347,train
348,train
349,train
350,train
351,train
352,train
353,train
354,train
355,train
356,val
357,train
358,train
359,train
360,train
361,test
362,train
363,train
364,train
365,test
366,train
367,train
368,val
369,train
370,train
371,train
372,train
373,test
374,train
375,train
376,val
377,val
378,train
379,train
380,train
381,train
382,train
383,train
384,train
385,val
386,train
387,val
388,train
389,train
390,test
391,train
392,train
393,train
394,train
395,train
396,train
397,train
398,train
399,train
400,train
401,train
402,train
403,val
404,train
405,train
406,train
407,train
408,test
409,train
410,train
411,train
412,train
413,train
414,train
415,train
416,train
417,train
418,train
419,val
420,train
421,train
422,train
423,train
424,train
425,train
426,train
427,train
428,val
429,train
430,train
431,train
432,train
433,train
434,train
435,train
436,train
437,train
438,train
439,train
440,train
441,train
442,val
443,train
444,train
445,test
446,train
447,train
448,train
449,train
450,train
451,test
452,train
453,train
454,test
455,train
456,train
457,val
458,test
459,train
460,test
461,train
462,train
463,train
464,train
465,train
466,train
467,test
468,train
469,train
470,test
471,train
472,train
473,val
474,train
475,train
476,train
477,train
478,train
479,train
480,val
481,train
482,train
483,train
484,train
485,test
486,train
487,train
488,test
489,train
490,val
491,train
492,train
493,train
494,train
495,train
496,train
497,test
498,train
499,train
500,train
501,train
502,train
503,train
504,test
505,train
506,train
507,val
508,train
509,train
510,train
511,train
512,train
513,val
514,train
515,test
516,val
517,train
518,train
519,train
520,val
521,test
522,test
523,train
524,val
525,train
526,train
527,train
528,train
529,train
530,test
531,train
532,train
533,val
534,train
535,train
536,train
537,train
538,train
539,train
540,train
541,train
542,train
543,train
544,val
545,train
546,train
547,train
548,train
549,train
550,train
551,train
552,train
553,val
554,train
555,train
556,train
557,train
558,train
559,train
560,train
561,train
562,test
563,train
564,train
565,train
566,train
567,train
568,train
569,train
570,test
571,train
572,train
573,train
574,train
575,train
576,train
577,test
578,train
579,train
580,train
581,train
582,train
583,train
584,train
585,train
586,val
587,train
588,train
589,train
590,train
591,train
592,train
593,train
594,train
595,val
596,train
597,train
598,train
599,train
600,test
601,test
602,train
603,train
604,train
605,train
606,train
607,train
608,val
609,train
610,val
