image_id,split
1,train
2,train
3,train
4,test
5,train
6,test
7,train
8,train
9,train
10,train
11,train
12,train
13,train
14,train
15,train
16,train
17,train
18,train
19,train
20,val
21,train
22,train
23,train
24,train
25,val
26,train
27,train
28,val
29,train
30,train
31,train
32,train
33,val
34,train
35,train
36,train
37,train
38,val
39,train
40,train
41,train
42,train
43,test
44,train
45,train
46,train
47,train
48,train
49,train
50,train
51,train
52,train
53,train
54,train
55,val
56,train
57,train
58,train
59,train
60,train
61,train
62,train
63,train
64,train
65,train
66,train
67,val
68,train
69,train
70,train
71,val
72,train
73,test
74,val
75,train
76,train
77,train
78,train
79,train
80,train
81,train
82,train
83,val
84,train
85,test
86,val
87,train
88,train
89,train
90,train
91,train
92,train
93,val
94,train
95,train
96,train
97,train
98,train
99,train
100,train
101,test
102,train
103,test
104,train
105,train
106,train
107,val
108,train
109,train
110,test
111,test
112,train
113,train
114,train
115,train
116,train
117,train
118,test
119,train
120,train
121,train
122,train
123,train
124,train
125,train
126,val
127,train
128,train
129,train
130,train
131,train
132,val
133,train
134,val
135,train
136,train
137,train
138,train
139,train
140,train
141,train
142,train
143,train
144,test
145,train
146,train
147,train
148,train
149,train
150,train
151,test
152,train
153,train
154,train
155,train
156,train
157,train
158,train
159,train
160,train
161,train
162,train
163,train
164,train
165,train
166,train
167,test
168,train
169,test
170,train
171,train
172,train
173,train
174,train
175,val
176,train
177,train
178,train
179,train
180,test
181,train
182,train
183,train
184,train
185,train
186,val
187,val
188,test
189,val
190,train
191,test
192,train
193,train
194,train
195,train
196,train
197,train
198,test
199,train
200,train
201,val
202,train
203,test
204,train
205,train
206,test
207,train
208,train
209,test
210,train
211,train
212,train
213,train
214,train
215,train
216,train
217,val
218,train
219,train
220,train
221,train
222,train
223,train
224,train
225,train
226,train
227,train
228,train
229,train
230,train
231,train
232,train
233,val
234,train
235,test
236,train
237,train
238,train
239,train
240,train
241,train
242,train
243,train
244,train
245,train
246,train
247,val
248,train
249,train
250,test
251,train
252,train
253,test
254,test
255,val
256,train
257,train
258,test
259,train
260,train
261,train
262,train
263,train
264,train
265,train
266,train
267,test
268,train
269,train
270,train
271,train
272,train
273,test
274,train
