image_id,split
1,train
2,val
3,train
4,train
5,val
6,train
7,test
8,val
9,train
10,train
11,train
12,train
13,train
14,train
15,train
16,train
17,train
18,train
19,train
20,train
21,train
22,train
23,train
24,test
25,train
26,train
27,train
28,train
29,test
30,train
31,train
32,test
33,train
34,train
35,train
36,val
37,test
38,train
39,train
40,train
41,train
42,test
43,train
44,train
45,train
46,train
47,val
48,test
49,val
50,train
51,train
52,train
53,train
54,train
55,train
56,train
57,test
58,train
59,train
60,train
61,val
62,val
63,train
64,train
65,train
66,train
67,train
68,train
69,train
70,train
71,train
72,train
73,train
74,train
75,train
76,train
77,train
78,train
79,test
80,val
81,train
82,test
83,train
84,train
85,train
86,train
87,train
88,train
89,train
90,train
91,val
92,train
93,train
94,train
95,train
96,train
97,test
98,train
99,test
100,train
101,train
102,train
103,train
104,train
105,train
106,train
107,train
108,train
109,train
110,train
111,train
112,train
113,test
114,train
115,train
116,train
117,test
118,train
119,train
120,train
121,train
122,test
123,val
124,train
125,train
126,train
127,train
128,train
129,train
130,val
131,train
132,train
133,test
134,train
135,train
136,test
137,train
138,train
139,train
140,train
141,train
142,train
143,train
144,train
145,train
146,train
147,val
148,train
149,train
150,train
151,train
152,train
153,train
154,val
155,test
156,val
157,train
158,train
159,val
160,train
161,train
162,train
163,train
164,train
165,train
166,train
167,train
168,train
169,train
170,train
171,train
172,train
173,train
174,train
175,train
176,train
177,val
178,test
179,train
180,train
181,train
182,train
183,train
184,train
185,train
186,train
187,train
188,train
189,train
190,train
191,train
192,train
193,train
194,train
195,test
196,train
197,train
198,train
199,train
200,train
201,train
202,train
203,train
204,train
205,train
206,train
207,test
208,train
209,train
210,train
211,train
212,train
213,train
214,train
215,train
216,val
217,train
218,val
219,train
220,train
221,train
222,val
223,train
224,test
225,test
226,test
227,train
228,train
229,train
230,train
231,train
232,train
233,train
234,val
235,train
236,train
237,train
238,train
239,train
240,train
241,val
242,train
243,train
244,train
245,train
246,test
247,train
248,train
249,train
250,train
251,test
252,test
253,train
254,train
255,train
256,train
257,train
258,train
259,train
260,train
261,train
262,train
263,val
264,val
265,test
266,train
267,train
268,test
269,train
270,train
271,train
272,train
273,train
274,train
275,val
276,train
277,train
278,test
279,val
280,test
281,train
282,val
283,train
284,train
285,train
286,train
287,train
288,train
289,train
290,train
291,train
292,train
293,train
294,train
295,train
296,train
297,train
298,val
299,train
300,train
301,train
302,train
303,val
304,test
305,val
306,train
307,train
308,test
309,train
310,train
311,val
312,train
313,train
314,test
315,train
316,train
317,train
318,train
319,train
320,train
321,train
322,train
323,train
324,val
325,val
326,train
327,train
328,train
329,train
330,train
331,val
332,val
333,train
334,train
335,test
336,train
337,train
338,train
339,train
340,train
341,train
342,train
343,train
344,train
345,train
346,train
347,train
348,train
349,train
350,train
351,train
352,test
353,train
354,val
355,train
356,train
357,train
358,train
359,train
360,train
361,train
362,train
363,train
364,train
365,train
366,train
367,val
368,train
369,train
370,train
371,val
372,train
373,train
374,train
375,test
376,train
377,train
378,val
379,train
380,train
381,train
382,train
383,test
384,train
385,train
386,train
387,train
388,train
389,train
390,train
391,train
392,train
393,train
394,train
395,train
396,train
397,test
398,train
399,val
400,train
401,train
402,val
403,train
404,train
405,train
406,train
407,train
408,train
409,test
410,test
411,train
412,train
413,train
414,train
415,train
416,val
417,test
418,train
419,train
420,val
421,train
422,val
423,train
424,train
425,train
426,train
427,train
428,train
429,test
430,train
431,train
432,train
433,train
434,val
435,train
436,test
437,train
438,train
439,train
440,train
441,train
442,train
443,train
444,train
445,train
446,train
447,train
448,test
449,val
450,train
451,train
452,train
453,train
454,train
455,val
456,train
457,train
458,train
459,train
460,train
461,train
462,train
463,train
464,train
465,train
466,train
467,train
468,train
469,train
470,train
471,train
472,test
473,train
474,train
475,train
476,train
477,train
478,train
479,train
480,train
481,train
482,test
483,train
484,train
485,train
486,train
487,train
488,train
489,train
490,train
491,train
492,val
493,train
494,val
495,train
496,train
497,train
498,val
499,val
500,train
501,train
502,train
503,test
504,train
505,train
506,train
507,train
508,train
509,train
510,test
511,train
512,test
513,train
514,test
515,train
516,train
517,train
518,train
519,train
520,train
521,train
522,train
523,test
524,train
525,train
526,val
527,train
528,val
529,train
530,train
531,train
532,train
533,train
534,val
535,train
536,train
537,train
538,train
539,train
540,test
541,train
542,test
543,train
544,train
545,train
546,val
547,train
548,train
549,train
550,val
551,test
552,train
553,train
554,train
555,train
556,train
557,train
558,test
559,train
560,train
561,train
562,train
563,train
564,train
565,test
566,train
567,train
568,train
569,train
570,train
571,train
572,train
573,train
574,test
575,train
576,val
577,train
578,train
579,train
580,val
581,train
582,train
583,train
584,train
585,test
586,train
587,train
588,test
589,train
590,train
591,val
592,test
593,train
594,train
595,train
596,train
597,train
598,test
599,train
600,train
601,train
602,val
603,train
604,train
605,train
606,train
607,train
608,train
609,train
610,train
611,train
612,val
613,train
614,train
615,train
616,train
617,train
618,train
619,test
620,train
621,val
622,train
623,train
624,test
625,train
626,train
627,test
628,train
629,train
630,train
631,train
632,train
633,train
634,train
635,train
636,train
637,train
638,train
639,train
640,train
641,train
642,train
643,test
644,train
645,test
646,train
647,train
648,train
649,train
650,train
651,train
652,train
653,train
654,train
655,val
656,train
657,train
658,test
659,val
660,train
661,train
662,train
663,train
664,train
665,train
666,train
667,train
668,train
669,train
670,train
671,train
672,train
673,train
674,train
675,test
676,train
677,train
678,val
679,val
680,val
681,train
682,train
683,val
684,test
685,train
686,train
687,test
688,train
689,val
690,val
691,train
692,train
693,val
694,train
695,train
696,val
697,train
698,train
699,train
700,train
701,train
702,train
703,train
704,train
705,train
706,train
707,test
708,train
709,train
710,train
711,train
712,train
